source_file,label,search_url,want_title,surname,query_text,best_id,best_abs_url,best_title,best_published,best_score,best_query,tried_queries
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Sgarbas, 2007 - The road to Quantum Artificial Intelligence",https://arxiv.org/search/?query=road+to+Quantum+Artificial+Intelligence+Sgarbas+2007&searchtype=all,The road to Quantum Artificial Intelligence,Sgarbas,road to Quantum Artificial Intelligence Sgarbas 2007,0705.3360,https://arxiv.org/abs/0705.3360,The Road to Quantum Artificial Intelligence,2007-05-23T12:31:47Z,1.0,all:road to Quantum Artificial Intelligence Sgarbas 2007 AND au:Sgarbas,all:road to Quantum Artificial Intelligence Sgarbas 2007 AND au:Sgarbas
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Lloyd, Mohseni & Rebentrost, 2013 - Quantum algorithms for supervised and unsupervised machine learning",https://arxiv.org/search/?query=Quantum+algorithms+supervised+unsupervised+machine+learning+Lloyd+2013&searchtype=all,Quantum algorithms for supervised and unsupervised machine learning,Lloyd,Quantum algorithms supervised unsupervised machine learning Lloyd 2013,1307.0411,https://arxiv.org/abs/1307.0411,Quantum algorithms for supervised and unsupervised machine learning,2013-07-01T15:38:12Z,1.0,all:Quantum algorithms supervised unsupervised machine learning Lloyd 2013 AND au:Lloyd,all:Quantum algorithms supervised unsupervised machine learning Lloyd 2013 AND au:Lloyd
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Schuld, Synayskly & Petruccione, 2014 - An introduction to quantum machine learning",https://arxiv.org/search/?query=introduction+quantum+machine+learning+Schuld+Synayskly+Petruccione+2014&searchtype=all,An introduction to quantum machine learning,Schuld,introduction quantum machine learning Schuld Synayskly Petruccione 2014,1409.3097,https://arxiv.org/abs/1409.3097,An introduction to quantum machine learning,2014-09-10T14:51:33Z,1.0,all:introduction quantum machine learning Schuld Synayskly Petruccione 2014 AND au:Schuld,all:introduction quantum machine learning Schuld Synayskly Petruccione 2014 AND au:Schuld
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Schuld, Synayskly & Petruccione, 2014 - The quest for a Quantum Neural Network",https://arxiv.org/search/?query=quest+Quantum+Neural+Network+Schuld+Synayskly+Petruccione+2014&searchtype=all,The quest for a Quantum Neural Network,Schuld,quest Quantum Neural Network Schuld Synayskly Petruccione 2014,1408.7005,https://arxiv.org/abs/1408.7005,The quest for a Quantum Neural Network,2014-08-29T13:00:17Z,1.0,all:quest Quantum Neural Network Schuld Synayskly Petruccione 2014 AND au:Schuld,all:quest Quantum Neural Network Schuld Synayskly Petruccione 2014 AND au:Schuld
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Schuld, Synayskly & Petruccione, 2014 - Simulating a perceptron on a quantum computer",https://arxiv.org/search/?query=Simulating+perceptron+quantum+computer+Schuld+2014&searchtype=all,Simulating a perceptron on a quantum computer,Schuld,Simulating perceptron quantum computer Schuld 2014,1412.3635,https://arxiv.org/abs/1412.3635,Simulating a perceptron on a quantum computer,2014-12-11T12:49:36Z,1.0,all:Simulating perceptron quantum computer Schuld 2014 AND au:Schuld,all:Simulating perceptron quantum computer Schuld 2014 AND au:Schuld
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Farhi & Goldstone, 2014 - Quantum Approximate Optimization Algorithms",https://arxiv.org/search/?query=Quantum+Approximate+Optimization+Algorithms+Farhi+Goldstone+2014&searchtype=all,Quantum Approximate Optimization Algorithms,Farhi,Quantum Approximate Optimization Algorithms Farhi Goldstone 2014,1411.4028,https://arxiv.org/abs/1411.4028,A Quantum Approximate Optimization Algorithm,2014-11-14T19:57:57Z,0.9655,all:Quantum Approximate Optimization Algorithms Farhi Goldstone 2014 AND au:Farhi,all:Quantum Approximate Optimization Algorithms Farhi Goldstone 2014 AND au:Farhi
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Montanaro, 2016 - Quantum algorithms: an overview",https://arxiv.org/search/?query=Quantum+algorithms+overview+Montanaro+2016&searchtype=all,Quantum algorithms: an overview,Montanaro,Quantum algorithms overview Montanaro 2016,1511.04206,https://arxiv.org/abs/1511.04206,Quantum algorithms: an overview,2015-11-13T09:16:47Z,1.0,all:Quantum algorithms overview Montanaro 2016 AND au:Montanaro,all:Quantum algorithms overview Montanaro 2016 AND au:Montanaro
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Biamonte et al., 2016 - Quantum machine Learning",https://arxiv.org/search/?query=Quantum+machine+Learning+Biamonte+2016&searchtype=all,Quantum machine Learning,Biamonte,Quantum machine Learning Biamonte 2016,1611.09347,https://arxiv.org/abs/1611.09347,Quantum Machine Learning,2016-11-28T20:59:46Z,1.0,"ti:""Quantum machine Learning""","all:Quantum machine Learning Biamonte 2016 AND au:Biamonte | ti:""Quantum machine Learning"""
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Arunachalam & de Wolf, 2017 - A Survey of Quantum Learning Theory",https://arxiv.org/search/?query=Survey+Quantum+Learning+Theory+Arunachalam+de+Wolf+2017&searchtype=all,A Survey of Quantum Learning Theory,Arunachalam,Survey Quantum Learning Theory Arunachalam de Wolf 2017,1701.06806,https://arxiv.org/abs/1701.06806,A Survey of Quantum Learning Theory,2017-01-24T10:53:07Z,1.0,all:Survey Quantum Learning Theory Arunachalam de Wolf 2017 AND au:Arunachalam,all:Survey Quantum Learning Theory Arunachalam de Wolf 2017 AND au:Arunachalam
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Dunjko & Briegel, 2017 - Machine learning & artificial intelligence in the quantum domain",https://arxiv.org/search/?query=Machine+learning+artificial+intelligence+quantum+domain+Dunjko+Briegel+2017&searchtype=all,Machine learning & artificial intelligence in the quantum domain,Dunjko,Machine learning artificial intelligence quantum domain Dunjko Briegel 2017,1709.02779,https://arxiv.org/abs/1709.02779,Machine learning \& artificial intelligence in the quantum domain,2017-09-08T16:53:24Z,1.0,all:Machine learning artificial intelligence quantum domain Dunjko Briegel 2017 AND au:Dunjko,all:Machine learning artificial intelligence quantum domain Dunjko Briegel 2017 AND au:Dunjko
