source_file,label,search_url,want_title,surname,query_text,best_id,best_abs_url,best_title,best_published,best_score,best_query,tried_queries
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Wittek, 2014 - Quantum Machine Learning: What Quantum Computing Means to Data Mining",https://arxiv.org/search/?query=Quantum+Machine+Learning+What+Quantum+Computing+Means+Data+Mining+Wittek+2014&searchtype=all,Quantum Machine Learning: What Quantum Computing Means to Data Mining,Wittek,Quantum Machine Learning What Quantum Computing Means Data Mining Wittek 2014,1806.11463,https://arxiv.org/abs/1806.11463,Bayesian Deep Learning on a Quantum Computer,2018-06-29T15:08:45Z,0.5536,all:Quantum Machine Learning What Quantum Computing Means Data Mining Wittek 2014 AND au:Wittek,"all:Quantum Machine Learning What Quantum Computing Means Data Mining Wittek 2014 AND au:Wittek | ti:""Quantum Machine Learning: What Quantum Computing Means to Data Mining"""
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Aaronson, 2015 - Quantum Machine Learning Algorithms: Read the Fine Print",https://arxiv.org/search/?query=Quantum+Machine+Learning+Algorithms+Read+Fine+Print+Aaronson+2015&searchtype=all,Quantum Machine Learning Algorithms: Read the Fine Print,Aaronson,Quantum Machine Learning Algorithms Read Fine Print Aaronson 2015,2007.15745,https://arxiv.org/abs/2007.15745,On Hyperparameter Optimization of Machine Learning Algorithms: Theory and Practice,2020-07-30T21:11:01Z,0.5882,all:Quantum Machine Learning Algorithms Read Fine Print Aaronson 2015 AND au:Aaronson,"all:Quantum Machine Learning Algorithms Read Fine Print Aaronson 2015 AND au:Aaronson | ti:""Quantum Machine Learning Algorithms: Read the Fine Print"""
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Farhi & Goldstone, 2014 - QAOA",https://arxiv.org/search/?query=Quantum+Approximate+Optimization+Algorithms+Farhi+Goldstone+2014,QAOA,Farhi,Quantum Approximate Optimization Algorithms Farhi Goldstone 2014,1411.4028,https://arxiv.org/abs/1411.4028,A Quantum Approximate Optimization Algorithm,2014-11-14T19:57:57Z,0.1667,all:Quantum Approximate Optimization Algorithms Farhi Goldstone 2014 AND au:Farhi,all:Quantum Approximate Optimization Algorithms Farhi Goldstone 2014 AND au:Farhi
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Farhi & Goldstone, 2014 - QAOA",https://arxiv.org/search/?query=Quantum+Approximate+Optimization+Algorithms+Farhi+Goldstone+2014,QAOA,Farhi,Quantum Approximate Optimization Algorithms Farhi Goldstone 2014,1411.4028,https://arxiv.org/abs/1411.4028,A Quantum Approximate Optimization Algorithm,2014-11-14T19:57:57Z,0.1667,all:Quantum Approximate Optimization Algorithms Farhi Goldstone 2014 AND au:Farhi,all:Quantum Approximate Optimization Algorithms Farhi Goldstone 2014 AND au:Farhi
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Havlicek et al., 2019 - Quantum enhanced feature spaces",https://arxiv.org/search/?query=Supervised+learning+quantum+enhanced+feature+spaces+Havlicek+2019,Quantum enhanced feature spaces,Havlicek,Supervised learning quantum enhanced feature spaces Havlicek 2019,1804.11326,https://arxiv.org/abs/1804.11326,Supervised learning with quantum enhanced feature spaces,2018-04-30T17:14:09Z,0.7126,all:Supervised learning quantum enhanced feature spaces Havlicek 2019 AND au:Havlicek,"all:Supervised learning quantum enhanced feature spaces Havlicek 2019 AND au:Havlicek | ti:""Quantum enhanced feature spaces"""
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Bergholm et al., 2018 - PennyLane",https://arxiv.org/search/?query=PennyLane+Automatic+differentiation+hybrid+quantum+classical+computations+2018,PennyLane,Bergholm,PennyLane Automatic differentiation hybrid quantum classical computations 2018,2111.09967,https://arxiv.org/abs/2111.09967,Differentiable quantum computational chemistry with PennyLane,2021-11-18T23:06:34Z,0.2571,all:PennyLane Automatic differentiation hybrid quantum classical computations 2018 AND au:Bergholm,all:PennyLane Automatic differentiation hybrid quantum classical computations 2018 AND au:Bergholm
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Lloyd et al., 2013 - Quantum ML algorithms",https://arxiv.org/search/?query=Quantum+algorithms+supervised+unsupervised+machine+learning+Lloyd+2013,Quantum ML algorithms,Lloyd,Quantum algorithms supervised unsupervised machine learning Lloyd 2013,1905.10415,https://arxiv.org/abs/1905.10415,Quantum-inspired algorithms in practice,2019-05-24T19:17:30Z,0.6333,all:Quantum algorithms supervised unsupervised machine learning Lloyd 2013 AND au:Lloyd,"all:Quantum algorithms supervised unsupervised machine learning Lloyd 2013 AND au:Lloyd | ti:""Quantum ML algorithms"""
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Schuld et al., 2014 - An introduction to QML",https://arxiv.org/search/?query=introduction+quantum+machine+learning+Schuld+Synayskly+Petruccione+2014,An introduction to QML,Schuld,introduction quantum machine learning Schuld Synayskly Petruccione 2014,1409.3097,https://arxiv.org/abs/1409.3097,An introduction to quantum machine learning,2014-09-10T14:51:33Z,0.6769,all:introduction quantum machine learning Schuld Synayskly Petruccione 2014 AND au:Schuld,"all:introduction quantum machine learning Schuld Synayskly Petruccione 2014 AND au:Schuld | ti:""An introduction to QML"""
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Schuld & Killoran, 2018 - Feature Hilbert spaces",https://arxiv.org/search/?query=Quantum+machine+learning+feature+Hilbert+spaces+Schuld+Killoran+2018,Feature Hilbert spaces,Schuld,Quantum machine learning feature Hilbert spaces Schuld Killoran 2018,1803.07128,https://arxiv.org/abs/1803.07128,Quantum machine learning in feature Hilbert spaces,2018-03-19T19:18:57Z,0.6111,all:Quantum machine learning feature Hilbert spaces Schuld Killoran 2018 AND au:Schuld,"all:Quantum machine learning feature Hilbert spaces Schuld Killoran 2018 AND au:Schuld | ti:""Feature Hilbert spaces"""
/Users/shl/nvidia/QML/2007-2019_QML_Literature_Review.md,"Benedetti et al., 2019 - PQC as ML models",https://arxiv.org/search/?query=Parameterized+quantum+circuits+machine+learning+models+Benedetti+2019,PQC as ML models,Benedetti,Parameterized quantum circuits machine learning models Benedetti 2019,1906.07682,https://arxiv.org/abs/1906.07682,Parameterized quantum circuits as machine learning models,2019-06-18T16:52:40Z,0.4384,all:Parameterized quantum circuits machine learning models Benedetti 2019 AND au:Benedetti,all:Parameterized quantum circuits machine learning models Benedetti 2019 AND au:Benedetti
